driver_id,code,first_name,last_name,date_of_birth,nationality
albon,ALB,Alexander,Albon,1996-03-23,Thai
alonso,ALO,Fernando,Alonso,1981-07-29,Spanish
bottas,BOT,Valtteri,Bottas,1989-08-28,Finnish
de_vries,DEV,Nyck,de Vries,1995-02-06,Dutch
gasly,GAS,Pierre,Gasly,1996-02-07,French
hamilton,HAM,Lewis,Hamilton,1985-01-07,British
hulkenberg,HUL,Nico,Hülkenberg,1987-08-19,German
lawson,LAW,Liam,Lawson,2002-02-11,New Zealander
leclerc,LEC,Charles,Leclerc,1997-10-16,Monegasque
kevin_magnussen,MAG,Kevin,Magnussen,1992-10-05,Danish
norris,NOR,Lando,Norris,1999-11-13,British
ocon,OCO,Esteban,Ocon,1996-09-17,French
perez,PER,Sergio,Pérez,1990-01-26,Mexican
piastri,PIA,Oscar,Piastri,2001-04-06,Australian
ricciardo,RIC,Daniel,Ricciardo,1989-07-01,Australian
russell,RUS,George,Russell,1998-02-15,British
sainz,SAI,Carlos,Sainz,1994-09-01,Spanish
sargeant,SAR,Logan,Sargeant,2000-12-31,American
stroll,STR,Lance,Stroll,1998-10-29,Canadian
tsunoda,TSU,Yuki,Tsunoda,2000-05-11,Japanese
max_verstappen,VER,Max,Verstappen,1997-09-30,Dutch
zhou,ZHO,Guanyu,Zhou,1999-05-30,Chinese
